ticker,snapshot_date,close,return_1d,return_1w,return_1m,momentum_1w,momentum_1m,momentum_3m,momentum_6m,volatility_30d,volatility_90d,drawdown,distance_52w_high,distance_52w_low,volume_change,pe_ratio,forward_pe,ev_ebitda,price_to_sales,fcf_yield,revenue_growth_yoy,eps_growth_yoy,ebitda_growth_yoy,gross_margin,operating_margin,net_margin,roe,roa,roic,debt_to_equity,net_debt_ebitda,current_ratio,earnings_surprise,earnings_sentiment,sector_relative_pe,sector_relative_growth,sector_relative_roic,analyst_signal,news_sentiment,sp500_return_1m,nasdaq_return_1m,sector_return_1m,interest_rate,inflation,market_regime,valuation_score,growth_score,quality_score,financial_health_score,momentum_score,earnings_score,baseline_investment_score
AAPL,2025-11-24,255.240000,0.003420,0.000980,-0.136920,0.000980,-0.136920,-0.156230,-0.063890,0.258420,0.269070,-0.212170,-0.212170,0.150920,-0.001600,34.060000,31.600000,24.430000,8.550000,0.029530,0.057800,0.075000,0.063500,0.456900,0.309800,0.231000,1.562900,0.252700,0.575600,1.758500,4.624000,0.837000,-0.024500,0.644000,0.822000,-0.253700,0.038600,3.950000,-0.255000,0.036700,0.017800,-0.042800,3.740000,2.990000,neutral,0.533300,0.111100,0.650000,0,0.344400,0.544400,0.365000
MSFT,2025-11-24,512.050000,0.018460,0.005950,-0.023890,0.005950,-0.023890,-0.132550,-0.068880,0.203180,0.216130,-0.160330,-0.160330,0.222780,-0.095100,35.890000,28,22.420000,11.950000,0.021100,0.138300,0.211900,0.161000,0.685300,0.435300,0.350800,0.343100,0.179900,0.275000,0.319200,0.695000,1.325000,0.062300,0.675000,0.861000,-0.173200,-0.262000,4.280000,0.395000,0.052800,-0.015700,0.044800,3.740000,2.990000,neutral,0.422200,0.716700,0.594400,0.555600,0.527800,0.961100,0.605300
NVDA,2025-11-24,89.350000,0.012920,0.031990,-0.140200,0.031990,-0.140200,-0.345570,-0.448590,0.517320,0.546910,-0.528120,-0.528120,0.065470,0.149100,54.630000,34.230000,44.090000,27.550000,0.017650,0.738400,0.986300,0.826100,0.737900,0.605400,0.536100,0.882300,0.640100,0.760500,0.125300,0.472000,4.043000,-0.050700,0.240000,1.318000,0.426900,0.223500,3.570000,-0.298000,0.026200,0.008300,0.061300,3.740000,2.990000,risk-off,0.155600,1,0.905600,0.922200,0,0.183300,0.568900
META,2025-11-24,831.350000,0.031200,0.065210,-0.133610,0.065210,-0.133610,-0.258070,-0.188630,0.302040,0.312960,-0.288310,-0.288310,0.211760,0.033400,27.300000,22.260000,17.340000,9.440000,0.035730,0.202000,0.266900,0.238200,0.797200,0.412300,0.368000,0.360300,0.226900,0.300200,0.259800,0.423000,2.920000,-0.018600,0.351000,0.852000,0.039800,0.037800,3.710000,-0.361000,0.035100,0.000500,0.031000,3.740000,2.990000,neutral,0.788900,0.888900,0.688900,0.733300,0.155600,0.405600,0.647200
GOOGL,2025-11-24,274.320000,0.011950,0.015360,0.037170,0.015360,0.037170,-0.003520,0.026950,0.271360,0.304240,-0.042310,-0.042310,0.301330,0.207600,23.870000,22.560000,17.430000,6.690000,0.032290,0.136700,0.148600,0.149300,0.566500,0.313300,0.278400,0.292800,0.204700,0.254300,0.089200,0.131000,1.761000,0.055300,0.705000,0.768000,-0.025500,-0.008100,4.440000,0.104000,-0.018200,0.029200,0.001100,3.740000,2.990000,neutral,0.811100,0.455600,0.416700,0.900000,0.822200,0.927800,0.687800
AMZN,2025-11-24,248.590000,0.021200,0.036480,-0.066470,0.036480,-0.066470,-0.083470,-0.144590,0.266020,0.296020,-0.179540,-0.179540,0.121440,-0.410300,43.910000,33.100000,18.890000,3.610000,0.015750,0.100600,0.125600,0.118200,0.486200,0.105700,0.088300,0.206900,0.084000,0.138200,0.531400,1.064000,1.021000,-0.080100,0.121000,0.530000,0.046100,0.029600,3.750000,-0.189000,0.051600,-0.000800,-0.018100,3.740000,2.990000,neutral,0.466700,0.222200,0.222200,0.266700,0.500000,0,0.297200
TSLA,2025-11-24,683.540000,0.019770,0.080750,0.106180,0.080750,0.106180,-0.005530,-0.152670,0.500660,0.579640,-0.210850,-0.210850,1.197450,-0.391000,124.190000,93.090000,64.990000,13.040000,0.002910,0.008400,0.010800,0.009800,0.175600,0.071300,0.071500,0.100000,0.059700,0.079000,0.172100,1.584000,1.961000,-0.067700,0.292000,1.470000,-0.046100,-0.029600,3.330000,0.304000,-0.007800,0.025000,0.058900,3.740000,2.990000,risk-off,0.044400,0,0,0.777800,0.594400,0.150000,0.229700
JPM,2025-11-24,274.960000,0.023260,-0.001420,-0.101320,-0.001420,-0.101320,-0.101760,-0.047390,0.209190,0.195550,-0.120490,-0.120490,0.072180,-0.131500,13.280000,13.140000,11.700000,3.790000,0.045690,0.114600,0.164600,0.135400,0.615600,0.415800,0.325700,0.172000,0.014200,0.111100,1.299200,1.135000,1.121000,-0.003800,0.455000,0.593000,0.003000,-0.159200,3.850000,-0.370000,-0.024900,0.011900,0.063600,3.740000,2.990000,neutral,0.977800,0.422200,0.311100,0.144400,0.522200,0.655600,0.507800
V,2025-11-24,389.710000,0.017710,0.008170,0.014790,0.008170,0.014790,-0.031730,0.014580,0.168060,0.186760,-0.053000,-0.053000,0.166060,0.228300,30.580000,27.590000,20,14.840000,0.030880,0.108500,0.166300,0.138000,0.800300,0.674000,0.561200,0.516600,0.212100,0.429600,0.523900,1.112000,1.308000,-0.010000,0.395000,1.407000,-0.003000,0.159300,3.730000,-0.373000,0.033300,0.071300,0.010300,3.740000,2.990000,risk-on,0.533300,0.472200,0.866700,0.444400,0.772200,0.461100,0.603100
NFLX,2025-11-24,1698.270000,-0.010680,-0.022760,-0.075340,-0.022760,-0.075340,0.032780,0.114870,0.278720,0.368860,-0.083760,-0.083760,0.821460,-0.005700,41.170000,35.060000,29.500000,9.580000,0.018330,0.148000,0.190500,0.172600,0.457200,0.260600,0.215200,0.348700,0.137100,0.232600,0.705400,2.258000,1.197000,0.015600,0.510000,1.380000,-0.014200,-0.029800,3.650000,-0.212000,0.010500,-0.020400,0.025500,3.740000,2.990000,neutral,0.266700,0.711100,0.344400,0.255600,0.761100,0.711100,0.488100
